Start_Date	End_Date	Carrier	Volume
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	Greyhound	37
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	HCEE - Community	89
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	Lakeland	13
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	Martz	14
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	NJ Transit	2031
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	Peter Pan_Bonanza	12
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	Trailways	11
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	TransBridge	12
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	Academy	36
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	C & J Bus Lines	0
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	Coach USA	84
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	DeCamp	0
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	Greyhound	40
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	HCEE - Community	89
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	Lakeland	13
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	Martz	14
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	NJ Transit	2120
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	Peter Pan_Bonanza	18
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	Trailways	13
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	TransBridge	12
2021-04-05 00:00:00.000	2021-04-09 00:00:00.000	Academy	36
2021-04-05 00:00:00.000	2021-04-09 00:00:00.000	C & J Bus Lines	0
2021-04-05 00:00:00.000	2021-04-09 00:00:00.000	Coach USA	83
2021-04-05 00:00:00.000	2021-04-09 00:00:00.000	DeCamp	0
2021-04-05 00:00:00.000	2021-04-09 00:00:00.000	Greyhound	44
2021-04-05 00:00:00.000	2021-04-09 00:00:00.000	HCEE - Community	89
2021-04-05 00:00:00.000	2021-04-09 00:00:00.000	Lakeland	14
2021-04-05 00:00:00.000	2021-04-09 00:00:00.000	Martz	14
2021-04-05 00:00:00.000	2021-04-09 00:00:00.000	NJ Transit	2226
2021-04-05 00:00:00.000	2021-04-09 00:00:00.000	Peter Pan_Bonanza	16
2021-04-05 00:00:00.000	2021-04-09 00:00:00.000	Trailways	15
2021-04-05 00:00:00.000	2021-04-09 00:00:00.000	TransBridge	12
2021-04-12 00:00:00.000	2021-04-16 00:00:00.000	Academy	36
2021-04-12 00:00:00.000	2021-04-16 00:00:00.000	C & J Bus Lines	0
2021-04-12 00:00:00.000	2021-04-16 00:00:00.000	Coach USA	84
2021-04-12 00:00:00.000	2021-04-16 00:00:00.000	DeCamp	0
2021-04-12 00:00:00.000	2021-04-16 00:00:00.000	Greyhound	43
2021-04-12 00:00:00.000	2021-04-16 00:00:00.000	HCEE - Community	84
2021-04-12 00:00:00.000	2021-04-16 00:00:00.000	Lakeland	14
2021-04-12 00:00:00.000	2021-04-16 00:00:00.000	Martz	14
2021-04-12 00:00:00.000	2021-04-16 00:00:00.000	NJ Transit	2247
2021-04-12 00:00:00.000	2021-04-16 00:00:00.000	Peter Pan_Bonanza	16
2021-06-21 00:00:00.000	2021-06-25 00:00:00.000	DeCamp	16
2021-06-21 00:00:00.000	2021-06-25 00:00:00.000	Greyhound	55
2021-06-21 00:00:00.000	2021-06-25 00:00:00.000	HCEE - Community	94
2021-06-21 00:00:00.000	2021-06-25 00:00:00.000	Lakeland	19
2021-06-21 00:00:00.000	2021-06-25 00:00:00.000	Martz	16
2021-06-21 00:00:00.000	2021-06-25 00:00:00.000	NJ Transit	2215
2021-06-21 00:00:00.000	2021-06-25 00:00:00.000	Peter Pan_Bonanza	30
2021-06-21 00:00:00.000	2021-06-25 00:00:00.000	Trailways	17
2021-06-21 00:00:00.000	2021-06-25 00:00:00.000	TransBridge	14
2021-06-28 00:00:00.000	2021-07-02 00:00:00.000	Academy	36
