Facility,Direction,Freeflow,IsHighCongestion,Month,Year,Avg_Speed,Delta,Temp_Max_Mean_2025,Temp_Min_Mean_2025,Precip_Sum_mm_2025,Snow_Sum_cm_2025
GWB,WB,45.9,1,11,2024,31.8,-14.1,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,EB,46.1,1,11,2024,21.5,-24.6,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,WB,32.0,1,11,2024,21.6,-10.4,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,EB,34.9,0,11,2024,26.0,-8.9,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,WB,40.0,1,11,2024,24.1,-15.9,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,EB,32.9,1,11,2024,15.7,-17.2,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,WB,44.9,0,11,2024,45.7,0.8,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,EB,47.9,0,11,2024,47.5,-0.4,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,WB,45.0,0,10,2024,49.0,4.0,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,EB,44.9,0,10,2024,46.8,1.9,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,WB,44.9,0,10,2024,47.1,2.2,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,EB,44.9,0,10,2024,42.4,-2.5,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,WB,45.9,1,10,2024,31.7,-14.2,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,EB,46.1,1,10,2024,21.3,-24.8,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,WB,32.0,0,10,2024,22.0,-10.0,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,EB,34.9,0,10,2024,26.5,-8.4,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,WB,40.0,1,10,2024,24.1,-15.9,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,EB,32.9,1,10,2024,15.8,-17.1,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,WB,44.9,0,10,2024,46.7,1.8,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,EB,47.9,0,10,2024,48.0,0.1,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,WB,45.0,0,9,2024,48.9,3.9,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,EB,44.9,0,9,2024,47.8,2.9,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,WB,44.9,0,9,2024,46.9,2.0,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,EB,44.9,0,9,2024,38.0,-6.9,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,WB,45.9,1,9,2024,31.4,-14.5,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,EB,46.1,1,9,2024,21.1,-25.0,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,WB,32.0,1,9,2024,21.8,-10.2,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,EB,34.9,1,9,2024,24.5,-10.4,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,WB,40.0,1,9,2024,23.7,-16.3,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,EB,32.9,1,9,2024,15.4,-17.5,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,WB,44.9,0,9,2024,46.2,1.3,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,EB,47.9,0,9,2024,47.5,-0.4,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,WB,45.0,0,8,2024,48.5,3.5,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,EB,44.9,0,8,2024,46.0,1.1,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,WB,44.9,0,8,2024,46.6,1.7,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,EB,44.9,0,8,2024,41.8,-3.1,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,WB,45.9,1,8,2024,30.0,-15.9,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,EB,46.1,1,8,2024,18.7,-27.3,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,WB,32.0,1,8,2024,20.8,-11.2,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,EB,34.9,0,8,2024,25.8,-9.1,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,WB,40.0,1,8,2024,22.6,-17.4,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,EB,32.9,1,8,2024,15.7,-17.2,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,WB,44.9,0,8,2024,45.4,0.5,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,EB,47.9,0,8,2024,48.7,0.8,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,WB,45.0,0,7,2024,48.5,3.5,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,EB,44.9,0,7,2024,45.6,0.7,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,WB,44.9,0,7,2024,46.5,1.6,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,EB,44.9,0,7,2024,43.0,-1.9,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,WB,45.9,1,7,2024,32.1,-13.9,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,EB,46.1,1,7,2024,21.6,-24.5,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,WB,32.0,1,7,2024,21.0,-11.0,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,EB,34.9,0,7,2024,26.6,-8.3,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,WB,40.0,1,7,2024,23.5,-16.5,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,EB,32.9,1,7,2024,16.4,-16.5,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,WB,44.9,0,7,2024,46.1,1.2,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,EB,47.9,0,7,2024,49.2,1.3,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,WB,45.0,0,6,2024,48.5,3.5,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,EB,44.9,0,6,2024,46.6,1.7,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,WB,44.9,0,6,2024,45.0,0.1,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,EB,44.9,0,6,2024,41.6,-3.3,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,WB,45.9,1,6,2024,31.3,-14.6,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,EB,46.1,1,6,2024,19.7,-26.3,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,WB,32.0,1,6,2024,20.9,-11.1,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,EB,34.9,1,6,2024,23.1,-11.8,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,WB,40.0,1,6,2024,22.4,-17.6,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,EB,32.9,1,6,2024,13.8,-19.1,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,WB,44.9,0,6,2024,45.1,0.2,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,EB,47.9,0,6,2024,48.5,0.6,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,WB,45.0,0,5,2024,48.5,3.5,20.961290322580645,12.583870967741936,201.1,0.0
BB,EB,44.9,0,5,2024,47.0,2.1,20.961290322580645,12.583870967741936,201.1,0.0
